rank,strategy_id,tier,instrument,timeframe,total_trades,qualified,composite_score,net_profit,sharpe_ratio,profit_factor,max_drawdown_pct,win_rate,status
278,factory_trad_sma_trend_v1,traditional_gen1,USDCHF,H1,1155,1,0.2208,-6529.88,-1.439,0.785,67.43,0.21,ok
279,factory_trad_keltner_breakout_v1,traditional_gen1,NZDUSD,H4,88,1,0.2206,-580.76,-0.771,0.879,15.77,0.352,ok
280,factory_trad_vwap_bias_v1,traditional_gen1,USDCHF,H1,1652,1,0.2206,-6360.66,-1.084,0.813,66.99,0.249,ok
281,factory_trad_sma_crossover_v1,traditional_gen1,USDCAD,H1,247,1,0.2204,-3430.35,-2.407,0.71,34.3,0.291,ok
282,factory_hyb_psar_macd_v1,hybrid_gen1,EURUSD,H1,324,1,0.2203,-2994.79,-1.243,0.836,32.36,0.309,ok
283,factory_trad_roc_momentum_v1,traditional_gen1,AUDUSD,H4,14,0,0.2203,-8.62,0.019,0.989,3.03,0.429,ok
284,factory_trad_vwap_bias_v1,traditional_gen1,USDCAD,H1,864,1,0.2203,-3213.87,-0.783,0.855,39.0,0.248,ok
285,factory_hyb_donchian_adx_v1,hybrid_gen1,GBPUSD,H1,326,1,0.2202,-2952.7,-1.283,0.819,32.96,0.316,ok
286,factory_trad_ema_trend_v1,traditional_gen1,GBPUSD,H1,1262,1,0.2201,-6150.38,-1.206,0.808,62.01,0.214,ok
287,factory_trad_stochastic_v1,traditional_gen1,AUDUSD,H4,226,1,0.2201,88.19,0.142,1.007,17.02,0.478,ok
288,factory_hyb_donchian_adx_v1,hybrid_gen1,EURUSD,H4,93,1,0.2199,-1621.27,-2.217,0.71,24.42,0.28,ok
289,factory_trad_atr_trail_v1,traditional_gen1,GBPUSD,H1,1252,1,0.2198,-6117.78,-1.204,0.807,61.69,0.212,ok
290,factory_trad_macd_zero_v1,traditional_gen1,EURUSD,H1,855,1,0.2195,-4474.14,-0.873,0.869,48.61,0.316,ok
291,factory_hyb_ema_macd_v1,hybrid_gen1,USDCHF,H4,121,1,0.2194,-1411.22,-1.639,0.771,19.31,0.264,ok
292,factory_trad_ema_crossover_v1,traditional_gen1,USDCHF,H4,121,1,0.2194,-1411.22,-1.639,0.771,19.31,0.264,ok
293,factory_trad_atr_breakout_v1,traditional_gen1,AUDUSD,H4,227,1,0.2193,-2866.98,-2.303,0.704,33.01,0.339,ok
294,factory_trad_rsi_meanrev_v1,traditional_gen1,NZDUSD,H1,298,1,0.2193,-2639.73,-1.346,0.842,36.31,0.386,ok
295,factory_trad_macd_zero_v1,traditional_gen1,GBPUSD,H1,830,1,0.2192,-5201.19,-1.169,0.834,52.99,0.302,ok
296,factory_trad_pivot_bounce_v1,traditional_gen1,NZDUSD,H1,4403,1,0.219,-9165.12,-1.746,0.742,91.86,0.37,ok
297,factory_trad_macd_zero_v1,traditional_gen1,AUDUSD,H1,816,1,0.2188,-4059.99,-0.814,0.874,43.81,0.306,ok
298,factory_trad_psar_v1,traditional_gen1,GBPUSD,H1,1033,1,0.2186,-4050.78,-0.687,0.894,47.81,0.352,ok
299,factory_trad_ema_trend_v1,traditional_gen1,NZDUSD,H1,1301,1,0.2181,-6277.3,-1.267,0.778,66.77,0.211,ok
300,factory_trad_stochastic_v1,traditional_gen1,AUDUSD,H1,842,1,0.2179,-1766.06,-0.266,0.954,32.86,0.481,ok
301,factory_trad_price_vs_ma_v1,traditional_gen1,USDCAD,H1,943,1,0.2178,-4788.32,-1.343,0.766,48.52,0.228,ok
302,factory_trad_atr_breakout_v1,traditional_gen1,USDCHF,H1,791,1,0.2176,-4236.71,-0.947,0.863,56.34,0.34,ok
303,factory_hyb_stoch_trend_v1,hybrid_gen1,AUDUSD,H1,275,1,0.2175,-2709.96,-1.511,0.806,39.05,0.36,ok
304,factory_trad_sma_crossover_v1,traditional_gen1,AUDUSD,H4,113,1,0.2174,-377.0,-0.336,0.937,14.02,0.336,ok
305,factory_trad_rsi_trend_v1,traditional_gen1,USDCHF,H4,214,1,0.2173,-1131.99,-0.643,0.895,18.21,0.318,ok
306,factory_trad_adx_trend_v1,traditional_gen1,GBPUSD,H1,474,1,0.2172,-3273.83,-1.068,0.845,35.81,0.325,ok
307,factory_trad_macd_cross_v1,traditional_gen1,USDCAD,H1,486,1,0.2172,-3084.41,-1.118,0.832,41.44,0.317,ok
308,factory_trad_stochastic_v1,traditional_gen1,USDCHF,H4,236,1,0.2171,-650.47,-0.332,0.951,25.13,0.453,ok
309,factory_trad_vwap_bias_v1,traditional_gen1,AUDUSD,H1,1636,1,0.2171,-5959.73,-0.98,0.837,60.1,0.253,ok
310,factory_trad_sr_bounce_v1,traditional_gen1,USDCAD,H1,331,1,0.217,-495.29,-0.136,0.972,26.62,0.453,ok
311,factory_hyb_donchian_adx_v1,hybrid_gen1,EURUSD,H1,341,1,0.2169,-3370.87,-1.429,0.81,34.42,0.314,ok
312,factory_hyb_macd_ema_trend_v1,hybrid_gen1,USDCHF,H1,360,1,0.2166,-2641.65,-1.025,0.854,33.04,0.306,ok
313,factory_trad_atr_trail_v1,traditional_gen1,NZDUSD,H1,1287,1,0.2166,-6247.86,-1.265,0.776,66.88,0.21,ok
314,factory_trad_rsi_trend_v1,traditional_gen1,AUDUSD,H4,179,1,0.2166,-688.71,-0.437,0.923,22.77,0.335,ok
315,factory_trad_sma_trend_v1,traditional_gen1,NZDUSD,H1,1163,1,0.2163,-5430.59,-1.068,0.82,55.34,0.22,ok
316,factory_trad_sr_breakout_v1,traditional_gen1,EURUSD,H1,289,1,0.2163,-3882.48,-2.056,0.723,46.06,0.322,ok
317,factory_trad_psar_v1,traditional_gen1,USDCAD,H1,538,1,0.2161,-2027.54,-0.599,0.897,30.17,0.368,ok
318,factory_trad_rsi_trend_v1,traditional_gen1,USDCHF,H1,763,1,0.216,-4692.04,-1.04,0.845,50.97,0.3,ok
319,factory_trad_adx_trend_v1,traditional_gen1,NZDUSD,H1,475,1,0.2158,-3688.23,-1.275,0.811,43.52,0.309,ok
320,factory_trad_atr_trail_v1,traditional_gen1,USDCHF,H1,1233,1,0.2157,-5984.4,-1.177,0.798,62.1,0.213,ok
321,factory_trad_rsi_trend_v1,traditional_gen1,USDCAD,H4,96,1,0.2157,-604.2,-0.77,0.878,13.94,0.271,ok
322,factory_trad_atr_breakout_v1,traditional_gen1,GBPUSD,H1,833,1,0.2155,-4569.53,-1.009,0.862,49.15,0.336,ok
323,factory_hyb_macd_rsi_v1,hybrid_gen1,AUDUSD,H1,458,1,0.2154,-3111.65,-1.056,0.832,39.34,0.306,ok
